Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Honduras,Americas,456035,4604.272,199,2.009,0,10992,110.979,0,0,0
Israel,Europe,4655364,53784.784,7340,84.801,569,11687,135.023,3,0.035,0
Republic of Moldova,Europe,587023,14552.017,3840,95.192,0,11821,293.037,13,0.322,0
Nepal,South-East Asia,999453,3430.208,272,0.934,0,12016,41.24,0,0,0
Switzerland,Europe,4067629,46999.521,5621,64.948,0,13556,156.633,3,0.035,0
Jordan,Eastern Mediterranean,1745032,17102.902,2776,27.207,0,14116,138.35,2,0.02,0
Australia,Western Pacific,10191312,39966.111,37402,146.675,0,14853,58.247,171,0.671,0
Bosnia and Herzegovina,Europe,398221,12137.868,543,16.551,72,16119,491.311,13,0.396,1
Morocco,Eastern Mediterranean,1264822,3426.721,91,0.247,0,16278,44.101,2,0.005,0
Sri Lanka,South-East Asia,670668,3132.024,98,0.458,0,16752,78.232,10,0.047,0
Croatia,Europe,1227197,30240.195,4283,105.54,874,16861,415.483,34,0.838,7
Georgia,Europe,1780691,44638.077,8377,209.993,0,16900,423.646,0,0,0
Serbia,Europe,2343470,33832.392,15869,229.099,2201,16922,244.301,67,0.967,9
Kazakhstan,Europe,1482903,7897.567,653,3.478,0,19048,101.445,0,0,0
Myanmar,South-East Asia,620444,1140.317,2141,3.935,0,19452,35.751,8,0.015,0
Paraguay,Americas,716009,10038.629,203,2.846,0,19564,274.292,34,0.477,0
Guatemala,Americas,1117364,6236.833,3493,19.497,1318,19737,110.167,49,0.274,5
Sweden,Europe,2583370,25014.26,4849,46.952,911,20178,195.38,22,0.213,0
Slovakia,Europe,1840902,33729.293,2436,44.633,383,20443,374.56,14,0.257,2
Austria,Europe,5050233,56737.408,41685,468.315,7821,20700,232.556,20,0.225,0
Bolivia,Americas,1107456,9487.313,726,6.219,0,22229,190.431,10,0.086,0
Netherlands,Europe,8410076,48312.71,5882,33.79,0,22630,130.001,7,0.04,0
Egypt,Eastern Mediterranean,515361,503.605,13,0.013,0,24797,24.231,1,0.001,0
Portugal,Europe,5469513,53123.168,16097,156.344,0,24973,242.553,25,0.243,0
Iraq,Eastern Mediterranean,2459178,6113.937,143,0.356,0,25352,63.029,1,0.002,0
China,Western Pacific,7323095,497.734,296751,20.169,44260,25868,1.758,377,0.026,76
Republic of Korea,Western Pacific,24565021,47913.812,248719,485.124,29108,28077,54.764,352,0.687,68
Tunisia,Eastern Mediterranean,1145345,9691.022,182,1.54,0,29246,247.457,3,0.025,0
Bangladesh,South-East Asia,2020148,1226.641,3202,1.944,0,29346,17.819,7,0.004,0
Pakistan,Eastern Mediterranean,1571894,711.611,364,0.165,0,30607,13.856,3,0.001,0
Belgium,Europe,4525931,39279.276,11773,102.175,4,32647,283.334,14,0.122,2
Thailand,South-East Asia,4677090,6700.704,4944,7.083,752,32692,46.837,89,0.128,9
Greece,Europe,4875215,45483.84,36146,337.228,0,33010,307.97,111,1.036,0
Ecuador,Americas,1002057,5679.612,1843,10.446,0,35887,203.406,2,0.011,0
Malaysia,Western Pacific,4826220,14911.389,12518,38.676,2245,36342,112.284,43,0.133,12
Bulgaria,Europe,1253934,18038.369,3307,47.573,162,37694,542.244,27,0.388,0
Czechia,Europe,4087001,38217.92,15890,148.589,2630,40999,383.385,43,0.402,4
Viet Nam,Western Pacific,11467619,11781.165,16620,17.074,1928,43146,44.326,9,0.009,0
Japan,Western Pacific,20918843,16539.712,430531,340.404,78058,44177,34.929,830,0.656,106
Canada,Americas,4216141,11170.907,18433,48.839,0,44740,118.541,245,0.649,0
Hungary,Europe,2082750,21318.844,12307,125.973,0,47457,485.766,48,0.491,0
Chile,Americas,4594519,24034.687,17746,92.832,4098,60974,318.965,93,0.486,8
Philippines,Western Pacific,3929819,3586.22,16283,14.859,2702,62695,57.213,248,0.226,38
Romania,Europe,3259328,16862.514,10220,52.874,1331,66962,346.436,74,0.383,12
Türkiye,Europe,16852382,19981.703,0,0,0,101068,119.835,0,0,0
South Africa,Africa,4017011,6773.056,1664,2.806,551,102169,172.266,23,0.039,0
Ukraine,Europe,5133080,11737.111,36683,83.878,0,109045,249.338,90,0.206,0
Spain,Europe,13393196,28295.915,19080,40.31,0,113845,240.521,566,1.196,0
Poland,Europe,6268054,16513.07,29510,77.744,4438,117431,309.37,91,0.24,19
Argentina,Americas,9703938,21470.897,6175,13.663,0,129855,287.317,25,0.055,0
Colombia,Americas,6305562,12392.303,1245,2.447,0,141746,278.573,38,0.075,0
Iran,Eastern Mediterranean,7545351,8983.315,3765,4.483,0,144358,171.869,100,0.119,0
Germany,Europe,32905086,39565.213,245591,295.3,34635,149368,179.601,53,0.064,4
France,Europe,34014037,52297.62,217401,334.261,38503,151291,232.615,202,0.311,30
Indonesia,South-East Asia,6419394,2346.925,14350,5.246,1904,157986,57.76,110,0.04,20
Italy,Europe,22241369,37291.774,126946,212.848,22523,176775,296.396,311,0.521,60
United Kingdom,Europe,23621956,34796.504,32602,48.025,4280,189919,279.762,188,0.277,0
Peru,Americas,4137314,12548.017,8634,26.186,2173,216406,656.336,204,0.619,25
Mexico,Americas,7076005,5488.136,6758,5.241,2802,329949,255.908,54,0.042,29
Russian Federation,Europe,20694894,14180.951,370855,254.124,53335,386551,264.88,714,0.489,104
India,South-East Asia,44558425,3228.861,35648,2.583,5383,528449,38.293,176,0.013,20
Brazil,Americas,34607947,16281.54,49045,23.074,7179,685604,322.547,483,0.227,86
United States of America,Americas,94618978,28585.565,381319,115.201,82314,1044127,315.444,2550,0.77,754
Global,,611421786,7844.231447,3025726,38.81853016,454729,6512438,83.55127692,9457,0.121328514,1538
